Date : 2026-05-30 15:48:15
Directory : e:\projetos\pie
Total : 88 files,  10852 codes, 1397 comments, 3072 blanks, all 15321 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| e:\projetos\pie\personal_intelligence_engine\app\cli\__init__.py                      | Python   |          0 |          1 |          1 |          2 |
| e:\projetos\pie\personal_intelligence_engine\app\cli\commands.py                      | Python   |        721 |        104 |        122 |        947 |
| e:\projetos\pie\personal_intelligence_engine\app\config.py                            | Python   |        115 |          8 |         13 |        136 |
| e:\projetos\pie\personal_intelligence_engine\app\domain\__init__.py                   | Python   |          0 |          1 |          1 |          2 |
| e:\projetos\pie\personal_intelligence_engine\app\domain\schemas.py                    | Python   |        224 |         36 |         72 |        332 |
| e:\projetos\pie\personal_intelligence_engine\app\domain\types.py                      | Python   |         40 |          7 |         19 |         66 |
| e:\projetos\pie\personal_intelligence_engine\app\evaluation\__init__.py               | Python   |         23 |          1 |          3 |         27 |
| e:\projetos\pie\personal_intelligence_engine\app\evaluation\report.py                 | Python   |         77 |          3 |         17 |         97 |
| e:\projetos\pie\personal_intelligence_engine\app\evaluation\runner.py                 | Python   |        103 |         10 |         30 |        143 |
| e:\projetos\pie\personal_intelligence_engine\app\evaluation\scoring.py                | Python   |        103 |         15 |         46 |        164 |
| e:\projetos\pie\personal_intelligence_engine\app\main.py                              | Python   |        623 |        103 |         83 |        809 |
| e:\projetos\pie\personal_intelligence_engine\app\prompts\extraction_prompt.md         | Markdown |         31 |          0 |          7 |         38 |
| e:\projetos\pie\personal_intelligence_engine\app\repositories\__init__.py             | Python   |          0 |          1 |          1 |          2 |
| e:\projetos\pie\personal_intelligence_engine\app\repositories\audit_repository.py     | Python   |         34 |         10 |          9 |         53 |
| e:\projetos\pie\personal_intelligence_engine\app\repositories\database.py             | Python   |        124 |         43 |         37 |        204 |
| e:\projetos\pie\personal_intelligence_engine\app\repositories\entries_repository.py   | Python   |        278 |        241 |         27 |        546 |
| e:\projetos\pie\personal_intelligence_engine\app\repositories\reports_repository.py   | Python   |         29 |          9 |          8 |         46 |
| e:\projetos\pie\personal_intelligence_engine\app\repositories\revisions_repository.py | Python   |         31 |         14 |          8 |         53 |
| e:\projetos\pie\personal_intelligence_engine\app\services\__init__.py                 | Python   |          0 |          1 |          1 |          2 |
| e:\projetos\pie\personal_intelligence_engine\app\services\audit_service.py            | Python   |         23 |         11 |          8 |         42 |
| e:\projetos\pie\personal_intelligence_engine\app\services\backup_export_service.py    | Python   |        121 |         18 |         36 |        175 |
| e:\projetos\pie\personal_intelligence_engine\app\services\extraction_service.py       | Python   |         12 |         16 |         11 |         39 |
| e:\projetos\pie\personal_intelligence_engine\app\services\ingestion_service.py        | Python   |         17 |         10 |         10 |         37 |
| e:\projetos\pie\personal_intelligence_engine\app\services\markdown_service.py         | Python   |         20 |         11 |          7 |         38 |
| e:\projetos\pie\personal_intelligence_engine\app\services\report_service.py           | Python   |        335 |         58 |         71 |        464 |
| e:\projetos\pie\personal_intelligence_engine\app\services\reprocess_service.py        | Python   |        180 |         20 |         31 |        231 |
| e:\projetos\pie\personal_intelligence_engine\app\services\validation_service.py       | Python   |         32 |         13 |          9 |         54 |
| e:\projetos\pie\tests\conftest.py                                                     | Python   |         24 |          4 |          9 |         37 |
| e:\projetos\pie\tests\fixtures\extraction_quality_cases.json                          | JSON     |        137 |          0 |          1 |        138 |
| e:\projetos\pie\tests\fixtures\prompt_regression_cases.json                           | JSON     |         62 |          0 |          1 |         63 |
| e:\projetos\pie\tests\test_add_overrides.py                                           | Python   |        302 |         61 |         87 |        450 |
| e:\projetos\pie\tests\test_audit_log.py                                               | Python   |        129 |         13 |         29 |        171 |
| e:\projetos\pie\tests\test_backup_export_cli.py                                       | Python   |        149 |         25 |         59 |        233 |
| e:\projetos\pie\tests\test_cli.py                                                     | Python   |         69 |          2 |         32 |        103 |
| e:\projetos\pie\tests\test_config.py                                                  | Python   |         16 |          1 |          6 |         23 |
| e:\projetos\pie\tests\test_daily_report.py                                            | Python   |        138 |         18 |         40 |        196 |
| e:\projetos\pie\tests\test_database_schema.py                                         | Python   |        200 |         36 |         36 |        272 |
| e:\projetos\pie\tests\test_entries_cli.py                                             | Python   |        199 |         80 |        121 |        400 |
| e:\projetos\pie\tests\test_extraction_quality_cli.py                                  | Python   |         41 |          1 |         19 |         61 |
| e:\projetos\pie\tests\test_extraction_quality_fixtures.py                             | Python   |         70 |          1 |         29 |        100 |
| e:\projetos\pie\tests\test_extraction_quality_report.py                               | Python   |         74 |          1 |         14 |         89 |
| e:\projetos\pie\tests\test_extraction_quality_runner.py                               | Python   |         86 |          2 |         22 |        110 |
| e:\projetos\pie\tests\test_extraction_quality_scoring.py                              | Python   |         79 |          1 |         32 |        112 |
| e:\projetos\pie\tests\test_extraction_service.py                                      | Python   |         17 |          1 |          8 |         26 |
| e:\projetos\pie\tests\test_extractor_selection.py                                     | Python   |         79 |          1 |         34 |        114 |
| e:\projetos\pie\tests\test_fake_extractor.py                                          | Python   |         54 |         11 |         18 |         83 |
| e:\projetos\pie\tests\test_ingestion.py                                               | Python   |         81 |         12 |         29 |        122 |
| e:\projetos\pie\tests\test_local_llm_extractor.py                                     | Python   |        150 |          1 |         59 |        210 |
| e:\projetos\pie\tests\test_main_static.py                                             | Python   |          4 |          1 |          5 |         10 |
| e:\projetos\pie\tests\test_markdown_generation.py                                     | Python   |         60 |         11 |         19 |         90 |
| e:\projetos\pie\tests\test_prompt_contract.py                                         | Python   |         25 |          1 |         10 |         36 |
| e:\projetos\pie\tests\test_reprocess_cli.py                                           | Python   |        505 |         34 |        151 |        690 |
| e:\projetos\pie\tests\test_review_cli.py                                              | Python   |        389 |         21 |        157 |        567 |
| e:\projetos\pie\tests\test_robustness_features.py                                     | Python   |        258 |         37 |         80 |        375 |
| e:\projetos\pie\tests\test_schema.py                                                  | Python   |        113 |          7 |         26 |        146 |
| e:\projetos\pie\tests\test_smoke_simulation.py                                        | Python   |        603 |        102 |        198 |        903 |
| e:\projetos\pie\tests\test_structured_entry_revisions.py                              | Python   |         90 |          1 |         21 |        112 |
| e:\projetos\pie\tests\test_weekly_project_reports.py                                  | Python   |        443 |         48 |         86 |        577 |
| Total                                                                                 |          |     10,852 |      1,397 |      3,072 |     15,321 |
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
